Designator,Footprint,Quantity,Value,LCSC Part #,Description,Price ~(USD)
"5V1, 5V2",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01,C2337072,1-pin 2.54mm pin header,~0.01
"BOOT, RESET",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,C318884,6x6mm SMD tactile switch TS-1187A,~0.05
BUZZER,Buzzer_12x9.5RM7.6,1,Buzzer,C96093,Passive buzzer 12mm TMB12A05,~0.30
"C1, C11, C14, C15, C2, C3, C5, C8",0402,8,10uF,C15525,10uF 10V X5R 0402 MLCC,~0.02
"C10, C12, C13, C16, C4, C6, C7, C9",0402,8,0.1uF,C307331,100nF 50V X7R 0402 MLCC,~0.01
D1,0402,1,LED,C2286,Red LED 0402 20mA,~0.02
"D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D15, D16, D17",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,16,SK6812MINI,C2909059,SK6812MINI RGB addressable LED 3.3V,~0.15
F1,0603,1,1A,C369154,1A polyfuse resettable 0603,~0.10
FB1,0805,1,"600Ω @ 100MHz, 500mA",C1015573,Ferrite bead 600R 100MHz 500mA 0805,~0.05
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,C165948,USB-C 2.0 14-pin SMD receptacle HRO TYPE-C-31-M-12,~0.50
"J2, J3",PinHeader_2x13_P2.54mm_Vertical,2,Conn_02x13_Odd_Even,C2690452,2x13 2.54mm dual row pin header,~0.20
JP1,PinHeader_1x03_P2.54mm_Vertical,1,Jumper_3_Bridged12,C2337072,1x3 2.54mm pin header (power switching jumper),~0.05
"R1, R2",0402,2,5.1k,C25905,5.1kΩ 1% 0402 CC1/CC2 pull-down,~0.01
R10,0402,1,470,C25117,470Ω 1% 0402 NeoPixel data resistor,~0.01
"R11, R13",0402,2,100,C25076,100Ω 1% 0402 ADJ divider bottom,~0.01
R12,0402,1,165,C25083,165Ω 1% 0402 ADJ divider top (use 162Ω if unavailable),~0.01
"R3, R4",0402,2,27,C25100,27Ω 1% 0402 USB D+/D- series resistors,~0.01
"R5, R8",0402,2,10K,C25744,10kΩ 1% 0402 EN and IO0 pull-up,~0.01
"R6, R7",0402,2,4.7K,C25900,4.7kΩ 1% 0402 I2C SDA/SCL pull-up,~0.01
R9,0402,1,330,C25104,330Ω 1% 0402 power LED,~0.01
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913202,ESP32-S3-WROOM-1 WiFi+BT module 4MB flash,~3.50
U3,SOT-23-5,1,AP2112K-1.2,C88099,AP2112K-1.2 600mA LDO 1.2V SOT-23-5,~0.15
U4,SOT-23-6,1,USBLC6-2SC6,C7519,USBLC6-2SC6 USB ESD protection SOT-23-6,~0.10
U5,TO-263-5_TabPin3,1,MIC29302WU,C914662,MIC29302WU adjustable LDO 3A TO-263-5,~1.20
