Designator,Footprint,Quantity,Value,LCSC Part #,link,
"5V1, 5V2",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01,https://www.lcsc.com/product-detail/C492400.html?spm=wm.fly.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUVdXR1dXUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXR08GEwkK,
"BOOT, RESET",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,https://www.lcsc.com/product-detail/C720477.html?s_z=s_Switches%257CTactile%2520Switches&spm=wm.fly.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUVFWQVlXVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRTlNADxALGw%3D%3D,
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,https://www.lcsc.com/product-detail/C96256.html?s_z=n_12x9%2520buzzer&spm=wm.ssy.bg.1.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUVFTRllXXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktQQlBADxALGw%3D%3D,
"C1, C11, C14, C15, C2, C3, C5, C8",0402,8,10uF,https://www.lcsc.com/product-detail/C315248.html?spm=wm.mxq.bom.0.xh___wm.bjg.btn.cre&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUVJTQ1JfVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
"C10, C12, C13, C16, C4, C6, C7, C9",0402,8,0.1uF,https://www.lcsc.com/product-detail/C60474.html?spm=wm.mxq.bom.1.xh___wm.bjg.btn.cre&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUVJTQ1JfVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
D1,0402,1,LED,https://www.lcsc.com/product-detail/C30584803.html?s_z=n_smd%2520led%25200402&spm=wm.ssy.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUV1fRVdYUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
"D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,16,SK6812MINI,https://www.lcsc.com/product-detail/C5149201.html?s_z=n_SK6812MINI&spm=wm.ssy.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUFRVR1FYXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRFFbX1BeR1JADxALGw%3D%3D,
F1,0603,1,1A,https://www.lcsc.com/product-detail/C18203128.html?s_z=n_smd%2520fuse%25200603%252C1%252C1A%252C&spm=wm.ssy.bg.0.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUFVURFJcXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D.
FB1,0805,1,"600Ω @ 100MHz, 500mA",https://www.lcsc.com/product-detail/C97120.html?s_z=n_ferite%2520bead%2520600%25CE%25A9%2520%2540%2520100MHz%252C%2520500mA&spm=wm.ssy.bg.10.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUFZWR1ldXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,https://www.lcsc.com/product-detail/C2760486.html?s_z=n_usbc%2520receptical&spm=wm.ssy.bg.4.xh&lcsc_vid=RAdeVAZfRwdXBFFfE1RfUF1WE1cNAwEFFVcPBFIERFQxVlNRQlBdUFZVTlVfVzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,
