Designator,Footprint,Quantity,Value,LCSC Part #
"5V1, 5V2",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01,
"BOOT, RESET",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
BUZZER,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C11, C14, C15, C2, C3, C5, C8",0402,8,10uF,
"C10, C12, C13, C16, C4, C6, C7, C9",0402,8,0.1uF,
D1,0402,1,LED,
"D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,16,SK6812MINI,
F1,0603,1,1A,
FB1,0805,1,"600Ω @ 100MHz, 500mA",
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinHeader_2x13_P2.54mm_Vertical,2,Conn_02x13_Odd_Even,
"R1, R2",0402,2,5.1k,
R10,0402,1,470,
"R11, R13",0402,2,100,
R12,0402,1,165,
"R3, R4",0402,2,27,
"R5, R8",0402,2,10K,
"R6, R7",0402,2,4.7K,
R9,0402,1,330,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U3,SOT-23-5,1,AP2112K-1.2,
U4,SOT-23-6,1,USBLC6-2SC6,
U5,TO-263-5_TabPin3,1,MIC29302WU,
