Designator,Mid X,Mid Y,Rotation,Layer
5V1,177.4,-98.1,0.0,top
5V2,270.2,-98.1,0.0,top
BOOT,250.6,-65.0,270.0,top
BUZZER,203.7,-125.678752,0.0,top
C1,238.0,-121.0,315.0,top
C10,232.38,-110.2,180.0,top
C11,208.4,-119.1,225.0,top
C12,210.1,-119.3,225.0,top
C13,199.4,-70.0,270.0,top
C14,243.039411,-100.260589,225.0,top
C15,248.3,-109.4,45.0,top
C16,255.4,-102.2,45.0,top
C2,228.8,-111.8,180.0,top
C3,212.6,-68.9,180.0,top
C4,212.6,-69.9,180.0,top
C5,230.4,-112.3,90.0,top
C6,230.4,-114.3,270.0,top
C7,222.8,-118.0,270.0,top
C8,230.1,-110.7,180.0,top
C9,235.1,-114.4,180.0,top
D1,187.7,-63.4,270.0,top
D10,251.018718,-94.243845,45.0,top
D11,255.137436,-97.3,311.0,top
D12,259.103897,-101.584986,312.0,top
D13,255.943845,-105.443845,45.0,top
D14,251.8,-109.5,225.0,top
D15,247.8,-113.6,45.0,top
D16,243.5,-117.5,45.0,top
D17,243.8,-106.1,270.0,top
D2,240.062563,-113.2,315.0,top
D3,236.118718,-109.043845,135.0,top
D4,232.0,-105.062563,135.0,top
D5,228.720726,-101.114007,48.0,top
D6,232.610244,-96.790535,49.0,top
D7,236.6,-93.7,315.0,top
D8,240.662563,-97.925127,315.0,top
D9,247.118718,-98.443845,45.0,top
F1,211.8,-123.8,135.0,top
FB1,209.5,-121.3,135.0,top
J1,218.7,-129.35,0.0,top
J2,175.52,-79.24,0.0,top
J3,268.97,-79.24,0.0,top
JP1,176.6,-102.9,90.0,top
R1,216.8,-123.039376,135.0,top
R10,239.2,-116.6,45.0,top
R11,226.8,-112.85,0.0,top
R12,228.8,-112.85,0.0,top
R13,198.8,-120.978752,225.0,top
R2,220.3,-123.1,90.0,top
R3,210.0,-85.1,180.0,top
R4,209.990001,-87.0,180.0,top
R5,212.7,-71.7,270.0,top
R6,208.6,-80.1,90.0,top
R7,208.6,-82.7,90.0,top
R8,234.2,-86.3,0.0,top
R9,184.8,-98.6,270.0,top
RESET,193.4,-64.8,270.0,top
U1,223.4,-75.04,0.0,top
U3,232.6,-112.8,270.0,top
U4,218.850001,-119.2875,270.0,top
U5,231.2,-125.5,270.0,top
